iteration,global_step,last_episode,num_batches,mean_return,mean_distance,mean_survival,mean_success_rate,current_phase,random_percentage,bump_ratio
5,153600,120,6,7.384724019230916,3.1944418179179936,994.2416666666667,0.0,1,1.0,0.5
10,307200,300,9,29.808184316385464,7.729601165082522,941.5777777777779,0.0,1,1.0,0.5
15,460800,460,8,37.96191332663503,9.366865622588243,895.51875,0.0,1,1.0,0.5
20,614400,620,8,46.25684434199163,11.026419170303372,916.5,0.0,1,1.0,0.5
25,768000,760,7,53.1714485364303,12.41149339751613,1085.6357142857144,0.0,1,1.0,0.5
30,921600,880,6,59.788471234747455,13.737581858211266,1234.9833333333333,0.0,1,1.0,0.5
35,1075200,1000,6,71.50942086062877,16.10103905382918,1294.8,0.0,1,1.0,0.5
40,1228800,1100,5,88.32151310523311,19.453498506391206,1467.59,0.0,1,1.0,0.5
45,1382400,1208,1,106.31313773769027,23.060172145570057,1505.85,0.0,1,1.0,0.5
50,1536000,1300,4,120.8108177281201,25.80826694044937,1819.375,1.25,1,1.0,0.5
55,1689600,1380,4,141.3491374276089,30.023142120682735,1961.6125,0.0,1,1.0,0.5
60,1843200,1466,4,147.79760255684366,30.800193664836574,1938.9625,5.0,1,1.0,0.5
65,1996800,1546,4,152.87343501674744,32.23815424932363,1908.1125,1.25,1,1.0,0.5
70,2150400,1636,4,166.22202439281435,34.48868693253317,1837.1875,5.0,1,1.0,0.5
75,2304000,1716,4,180.45593110682225,36.660613349504274,1816.0375,11.25,1,1.0,0.5
80,2457600,1800,4,179.12598176138687,36.66399954852227,1778.225,8.75,2,1.0,0.65
85,2611200,1887,4,180.40343784026976,37.342482212617895,1803.05,5.0,2,1.0,0.65
90,2764800,1969,4,205.90025716786528,41.21183102336279,1873.3,16.25,2,1.0,0.65
95,2918400,2052,4,216.4947693040135,43.87390408382757,1857.675,11.25,2,1.0,0.65
97,2979840,2081,1,227.77877313448727,46.25234866962853,1927.05,10.0,2,1.0,0.65
98,3010560,2116,1,233.84860384662198,46.96366844195606,2079.1,15.0,2,1.0,0.65
100,3072000,2138,1,240.7725663338038,47.21594722454974,1988.0,25.0,2,1.0,0.65
102,3133440,2175,1,241.45289436875,48.42290460892741,1763.55,15.0,2,1.0,0.65
103,3164160,2205,1,261.5600935712117,52.45371133065426,1897.35,15.0,2,1.0,0.65
105,3225600,2227,1,273.93604745806215,54.430182354467775,2147.7,20.0,2,1.0,0.65
107,3287040,2259,1,288.33513130556446,57.267287133912795,2118.55,20.0,2,1.0,0.65
