Episode   2275 | Return:    29.6 | Distance:   7.70m | Steps:  277 | fell
Episode   2276 | Return:    53.9 | Distance:  12.59m | Steps:  521 | fell
Episode   2277 | Return:    42.0 | Distance:  10.16m | Steps:  338 | fell
Episode   2278 | Return:    25.2 | Distance:   6.73m | Steps: 1500 | no_progress
Episode   2279 | Return:   138.4 | Distance:  29.41m | Steps:  875 | fell
Episode   2280 | Return:   257.6 | Distance:  53.36m | Steps: 2105 | flipped
Episode   2281 | Return:    78.4 | Distance:  17.44m | Steps: 1071 | fell
Episode   2282 | Return:    65.3 | Distance:  14.79m | Steps:  542 | flipped
Episode   2283 | Return:    76.8 | Distance:  17.14m | Steps:  595 | fell
Episode   2284 | Return:   544.9 | Distance: 100.03m | Steps: 4132 | success
Episode   2285 | Return:   139.6 | Distance:  29.67m | Steps:  909 | fell
Episode   2286 | Return:   164.4 | Distance:  34.64m | Steps: 1142 | fell
Episode   2287 | Return:   366.2 | Distance:  75.16m | Steps: 3750 | no_progress
Episode   2288 | Return:    89.3 | Distance:  19.64m | Steps:  575 | fell
Episode   2289 | Return:   149.6 | Distance:  31.69m | Steps: 1057 | fell
Episode   2290 | Return:    40.5 | Distance:   9.84m | Steps:  438 | flipped
Episode   2291 | Return:    30.8 | Distance:   7.90m | Steps:  311 | fell
Episode   2292 | Return:   139.9 | Distance:  29.88m | Steps: 1283 | fell
Episode   2293 | Return:   255.5 | Distance:  52.84m | Steps: 1630 | flipped
