Episode      1 | Return:    -8.9 | Distance:  -0.04m | Steps:  321 | fell
Episode      2 | Return:    -9.0 | Distance:  -0.06m | Steps:  355 | fell
Episode      3 | Return:    -9.0 | Distance:  -0.06m | Steps:  447 | fell
Episode      4 | Return:    -8.8 | Distance:  -0.03m | Steps:  565 | fell
Episode      5 | Return:    -8.9 | Distance:  -0.04m | Steps:  589 | fell
Episode      6 | Return:    -8.9 | Distance:  -0.04m | Steps:  684 | fell
Episode      7 | Return:    -6.8 | Distance:   0.18m | Steps:  750 | no_progress
Episode      8 | Return:    -3.9 | Distance:   0.76m | Steps:  750 | no_progress
Episode      9 | Return:    -3.7 | Distance:   0.81m | Steps:  750 | no_progress
Episode     10 | Return:    -4.7 | Distance:   0.61m | Steps:  750 | no_progress
Episode     11 | Return:    -2.9 | Distance:   0.97m | Steps:  750 | no_progress
Episode     12 | Return:    -3.3 | Distance:   0.90m | Steps:  750 | no_progress
Episode     13 | Return:    -5.3 | Distance:   0.49m | Steps:  750 | no_progress
Episode     14 | Return:    -5.9 | Distance:   0.36m | Steps:  750 | no_progress
Episode     15 | Return:    -5.9 | Distance:   0.38m | Steps:  750 | no_progress
Episode     16 | Return:    -3.3 | Distance:   0.89m | Steps:  750 | no_progress
Episode     17 | Return:    -2.7 | Distance:   1.01m | Steps:  750 | no_progress
Episode     18 | Return:    -4.6 | Distance:   0.63m | Steps:  750 | no_progress
Episode     19 | Return:    -5.6 | Distance:   0.42m | Steps:  750 | no_progress
Episode     20 | Return:    -3.5 | Distance:   0.84m | Steps:  750 | no_progress
Episode     21 | Return:    -2.5 | Distance:   1.04m | Steps:  750 | no_progress
Episode     22 | Return:    -3.7 | Distance:   0.81m | Steps:  750 | no_progress
Episode     23 | Return:    -4.7 | Distance:   0.62m | Steps:  750 | no_progress
Episode     24 | Return:    -8.9 | Distance:  -0.03m | Steps:  501 | fell
Episode     25 | Return:    -8.9 | Distance:  -0.05m | Steps:  711 | fell
Episode     26 | Return:    -2.0 | Distance:   1.15m | Steps: 1500 | no_progress
Episode     27 | Return:    -2.0 | Distance:   1.15m | Steps: 1500 | no_progress
Episode     28 | Return:     0.2 | Distance:   1.60m | Steps: 1500 | no_progress
Episode     29 | Return:    -0.9 | Distance:   1.37m | Steps: 1500 | no_progress
Episode     30 | Return:    -2.9 | Distance:   0.96m | Steps:  750 | no_progress
Episode     31 | Return:    -3.4 | Distance:   0.88m | Steps:  750 | no_progress
Episode     32 | Return:    -8.8 | Distance:  -0.03m | Steps:  528 | fell
Episode     33 | Return:    -1.0 | Distance:   1.36m | Steps: 1500 | no_progress
Episode     34 | Return:    16.9 | Distance:   5.14m | Steps: 1655 | fell
Episode     35 | Return:    16.5 | Distance:   5.05m | Steps: 1719 | fell
Episode     36 | Return:    16.5 | Distance:   5.06m | Steps: 1782 | fell
Episode     37 | Return:    16.4 | Distance:   5.05m | Steps: 1887 | fell
Episode     38 | Return:    17.2 | Distance:   5.20m | Steps: 1612 | flipped
Episode     39 | Return:    16.6 | Distance:   5.09m | Steps: 2704 | fell
Episode     40 | Return:    16.5 | Distance:   5.08m | Steps: 2006 | fell
Episode     41 | Return:    17.0 | Distance:   5.15m | Steps: 2019 | flipped
Episode     42 | Return:    16.5 | Distance:   5.07m | Steps: 2221 | fell
Episode     43 | Return:    17.3 | Distance:   5.34m | Steps: 2104 | flipped
Episode     44 | Return:    17.1 | Distance:   5.18m | Steps: 2235 | flipped
Episode     45 | Return:    26.4 | Distance:   7.05m | Steps: 1833 | fell
Episode     46 | Return:    28.9 | Distance:   7.55m | Steps: 2447 | fell
Episode     47 | Return:    29.7 | Distance:   7.73m | Steps: 2788 | flipped
Episode     48 | Return:    28.8 | Distance:   7.54m | Steps: 2399 | fell
Episode     49 | Return:    16.4 | Distance:   5.04m | Steps: 1137 | fell
Episode     50 | Return:    39.0 | Distance:   9.56m | Steps: 3227 | fell
Episode     51 | Return:    29.1 | Distance:   7.59m | Steps: 2497 | fell
Episode     52 | Return:    29.0 | Distance:   7.57m | Steps: 1838 | fell
Episode     53 | Return:    17.1 | Distance:   5.18m | Steps: 1921 | flipped
Episode     54 | Return:    41.4 | Distance:  10.04m | Steps: 3441 | fell
Episode     55 | Return:    26.4 | Distance:   7.06m | Steps: 2045 | fell
Episode     56 | Return:    16.5 | Distance:   5.07m | Steps:  799 | fell
Episode     57 | Return:    17.2 | Distance:   5.21m | Steps:  949 | flipped
Episode     58 | Return:    46.3 | Distance:  11.05m | Steps: 2945 | fell
Episode     59 | Return:    29.0 | Distance:   7.57m | Steps: 1668 | fell
Episode     60 | Return:    41.3 | Distance:  10.03m | Steps: 2323 | fell
Episode     61 | Return:    16.4 | Distance:   5.04m | Steps: 1001 | fell
Episode     62 | Return:    17.0 | Distance:   5.16m | Steps: 1152 | flipped
Episode     63 | Return:    16.5 | Distance:   5.06m | Steps: 1279 | fell
Episode     64 | Return:    16.1 | Distance:   5.04m | Steps: 1347 | fell
Episode     65 | Return:    17.3 | Distance:   5.22m | Steps:  963 | flipped
Episode     66 | Return:    18.5 | Distance:   5.48m | Steps: 2250 | no_progress
Episode     67 | Return:    17.5 | Distance:   5.24m | Steps: 1138 | flipped
Episode     68 | Return:    28.9 | Distance:   7.55m | Steps: 1412 | fell
Episode     69 | Return:    18.0 | Distance:   5.34m | Steps: 1157 | flipped
Episode     70 | Return:    69.0 | Distance:  15.57m | Steps: 4321 | fell
Episode     71 | Return:    16.2 | Distance:   5.05m | Steps:  930 | fell
Episode     72 | Return:    16.5 | Distance:   5.08m | Steps:  815 | fell
Episode     73 | Return:    16.4 | Distance:   5.05m | Steps:  795 | fell
Episode     74 | Return:    17.0 | Distance:   5.17m | Steps:  996 | flipped
Episode     75 | Return:    16.5 | Distance:   5.06m | Steps:  738 | fell
Episode     76 | Return:    27.2 | Distance:   7.19m | Steps: 1100 | flipped
Episode     77 | Return:    16.8 | Distance:   5.11m | Steps:  764 | fell
Episode     78 | Return:    18.6 | Distance:   5.58m | Steps: 3000 | no_progress
Episode     79 | Return:    19.2 | Distance:   5.89m | Steps: 3750 | no_progress
Episode     80 | Return:    26.2 | Distance:   7.06m | Steps: 1006 | fell
Episode     81 | Return:    16.4 | Distance:   5.06m | Steps:  668 | fell
Episode     82 | Return:    24.8 | Distance:   7.08m | Steps: 2412 | fell
Episode     83 | Return:    16.4 | Distance:   5.05m | Steps:  675 | fell
Episode     84 | Return:    53.3 | Distance:  12.53m | Steps: 2601 | fell
Episode     85 | Return:    16.4 | Distance:   5.05m | Steps:  716 | fell
Episode     86 | Return:    16.3 | Distance:   5.03m | Steps:  690 | fell
Episode     87 | Return:    16.5 | Distance:   5.06m | Steps:  779 | fell
Episode     88 | Return:    17.1 | Distance:   5.22m | Steps:  947 | flipped
Episode     89 | Return:    17.9 | Distance:   5.52m | Steps: 2250 | no_progress
Episode     90 | Return:    29.9 | Distance:   7.72m | Steps: 1069 | flipped
Episode     91 | Return:    17.2 | Distance:   5.53m | Steps: 2250 | no_progress
Episode     92 | Return:    17.3 | Distance:   5.57m | Steps: 2250 | no_progress
Episode     93 | Return:    26.3 | Distance:   7.05m | Steps: 1062 | fell
Episode     94 | Return:    29.9 | Distance:   7.83m | Steps: 1611 | flipped
Episode     95 | Return:    17.4 | Distance:   5.56m | Steps: 3000 | no_progress
Episode     96 | Return:    18.4 | Distance:   5.72m | Steps: 2250 | no_progress
Episode     97 | Return:    16.4 | Distance:   5.33m | Steps: 1770 | flipped
Episode     98 | Return:    20.0 | Distance:   5.87m | Steps: 1500 | no_progress
Episode     99 | Return:    36.5 | Distance:   9.06m | Steps: 1110 | fell
Episode    100 | Return:    16.4 | Distance:   5.04m | Steps:  691 | fell
Episode    101 | Return:    39.2 | Distance:   9.61m | Steps: 1255 | fell
Episode    102 | Return:    43.9 | Distance:  10.54m | Steps: 1362 | fell
Episode    103 | Return:    68.4 | Distance:  15.56m | Steps: 2559 | fell
Episode    104 | Return:    28.9 | Distance:   7.56m | Steps:  823 | fell
Episode    105 | Return:    27.8 | Distance:   7.33m | Steps: 1414 | flipped
Episode    106 | Return:    18.9 | Distance:   5.85m | Steps: 2250 | no_progress
Episode    107 | Return:    28.6 | Distance:   7.54m | Steps: 1150 | fell
Episode    108 | Return:    67.8 | Distance:  15.61m | Steps: 6000 | no_progress
Episode    109 | Return:    41.8 | Distance:  10.27m | Steps: 2144 | flipped
Episode    110 | Return:    17.0 | Distance:   5.16m | Steps:  621 | flipped
Episode    111 | Return:    17.9 | Distance:   5.33m | Steps:  678 | flipped
Episode    112 | Return:    16.2 | Distance:   5.04m | Steps:  562 | fell
Episode    113 | Return:    17.9 | Distance:   5.33m | Steps: 1193 | flipped
Episode    114 | Return:    41.1 | Distance:  10.05m | Steps: 1304 | fell
Episode    115 | Return:    39.4 | Distance:   9.69m | Steps: 1274 | flipped
Episode    116 | Return:    50.7 | Distance:  12.03m | Steps: 1897 | fell
Episode    117 | Return:    17.5 | Distance:   5.27m | Steps:  712 | fell
Episode    118 | Return:    62.1 | Distance:  14.23m | Steps: 1918 | flipped
Episode    119 | Return:    17.6 | Distance:   5.34m | Steps:  787 | flipped
Episode    120 | Return:    18.0 | Distance:   5.41m | Steps: 1500 | no_progress
Episode    121 | Return:    29.0 | Distance:   7.55m | Steps:  979 | fell
