iteration,global_step,last_episode,num_batches,mean_return,mean_distance,mean_survival,mean_success_rate,current_phase,random_percentage,bump_ratio
5,153600,80,4,11.350480808352149,3.974607957048508,1407.075,0.0,1,1.0,0.5
10,307200,200,6,29.395279877431637,7.779423611896622,1286.8333333333333,0.0,1,1.0,0.5
15,460800,340,7,35.02411206198132,8.88406386117801,1156.4642857142858,0.0,1,1.0,0.5
20,614400,420,4,54.179809567927,12.774171519812658,1638.7,0.0,1,1.0,0.5
25,768000,500,4,66.52019441596796,15.249747431073912,1730.5375,0.0,1,1.0,0.5
30,921600,580,4,84.93908246400805,18.945426859329665,1954.55,0.0,1,1.0,0.5
35,1075200,640,3,100.9402599365687,22.342000304627614,2296.1666666666665,0.0,1,1.0,0.540,1228800,698,2,98.86104460379826,21.83196414994896,2202.35,0.0,1,1.0,0.5
45,1382400,758,3,139.46004619067043,29.787309970834425,2630.5333333333333,1.6666666666666667,1,1.0,0.5
50,1536000,798,2,156.94382660584787,32.862447280992356,2731.675,5.0,1,1.0,0.5
55,1689600,858,3,156.497171784467,33.231604731481525,2860.5333333333333,1.6666666666666667,1,1.0,0.5
60,1843200,918,3,153.76543817115802,32.58351761670721,2621.65,3.3333333333333335,1,1.0,0.5
65,1996800,958,2,278.8406589063268,55.12126820966782,3675.175,25.0,3,1.0,0.75
70,2150400,998,2,294.2574501196744,58.10610231414794,3890.0,25.0,4,1.0,1.0
75,2304000,1038,2,265.32853686051067,52.380034025114284,3561.65,25.0,4,1.0,1.0
80,2457600,1078,2,292.01319686365713,57.17432653252956,3727.525,30.0,4,1.0,1.0
85,2611200,1118,2,315.0302642133098,61.14113595861519,3790.475,35.0,4,1.0,1.0
90,2764800,1178,3,219.17338317246322,43.416666081181916,2786.2833333333333,21.666666666666668,4,1.0,1.0
95,2918400,1238,3,169.9774259507137,34.13596568457083,2336.65,16.666666666666668,4,1.0,1.0
100,3072000,1298,3,245.77127484489452,48.156729216706516,3079.316666666667,26.666666666666668,4,1.0,1.0
105,3225600,1338,2,323.7360758539808,62.62599899099041,3970.65,37.5,4,1.0,1.0
110,3379200,1358,1,281.8206815286658,54.43163338130286,3357.6,35.0,4,1.0,1.0
115,3532800,1398,2,384.44312908223185,73.32491086032178,4402.1,50.0,4,1.0,1.0
120,3686400,1438,2,347.97998682690184,65.99744763605072,3859.75,50.0,4,1.0,1.0
125,3840000,1478,2,350.0546893936639,67.64992472911366,4169.925,40.0,4,1.0,1.0
130,3993600,1518,2,381.5460308001722,72.33663830232021,4177.5,52.5,4,1.0,1.0
135,4147200,1558,2,318.4528775872696,61.48690404657085,3702.45,37.5,4,1.0,1.0
140,4300800,1598,2,335.81966047191463,63.49324879350476,3661.6000000000004,50.0,4,1.0,1.0
145,4454400,1638,2,306.83257571082015,59.38681883746104,3460.875,35.0,4,1.0,1.0
150,4608000,1678,2,387.53038378952266,73.81900904065739,4144.35,50.0,4,1.0,1.0
155,4761600,1718,2,367.36099036033727,69.60537804598187,4098.975,52.5,4,1.0,1.0
