Episode   1727 | Return:   331.4 | Distance:  68.10m | Steps: 3802 | fell
Episode   1728 | Return:   546.3 | Distance: 100.00m | Steps: 5333 | success
Episode   1729 | Return:   545.0 | Distance: 100.01m | Steps: 5938 | success
Episode   1730 | Return:   174.5 | Distance:  36.67m | Steps: 1965 | fell
Episode   1731 | Return:   545.9 | Distance: 100.01m | Steps: 5581 | success
Episode   1732 | Return:   545.9 | Distance: 100.00m | Steps: 5560 | success
Episode   1733 | Return:   353.8 | Distance:  72.75m | Steps: 5250 | no_progress
Episode   1734 | Return:   103.8 | Distance:  22.54m | Steps: 1223 | fell
Episode   1735 | Return:   546.3 | Distance: 100.01m | Steps: 5260 | success
Episode   1736 | Return:   546.3 | Distance: 100.02m | Steps: 5342 | success
Episode   1737 | Return:   546.0 | Distance: 100.02m | Steps: 5595 | success
Episode   1738 | Return:   546.3 | Distance: 100.01m | Steps: 5364 | success
Episode   1739 | Return:   194.1 | Distance:  40.60m | Steps: 2176 | fell
Episode   1740 | Return:   201.4 | Distance:  42.04m | Steps: 2274 | fell
Episode   1741 | Return:   298.8 | Distance:  61.58m | Steps: 3401 | fell
Episode   1742 | Return:    16.5 | Distance:   5.67m | Steps: 1500 | no_progress
Episode   1743 | Return:   121.9 | Distance:  26.15m | Steps: 1435 | fell
Episode   1744 | Return:   546.2 | Distance: 100.01m | Steps: 5450 | success
Episode   1745 | Return:   537.9 | Distance: 100.00m | Steps: 6680 | success
