batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate,current_phase,random_percentage,bump_ratio
1,20,1-20,30720,-5.773560129963508,0.4497337385360901,673.05,0.0,1,1.0,0.5
2,40,21-40,92160,3.353157028894864,2.324485128078055,1317.75,0.0,1,1.0,0.5
3,60,41-60,122880,26.524234883857922,7.078044335374587,2141.8,0.0,1,1.0,0.5
4,80,61-80,153600,21.298091450619317,6.046168626205299,1495.7,0.0,1,1.0,0.5
5,100,81-100,184320,22.04101215635459,6.293871787624832,1515.05,0.0,1,1.0,0.5
6,120,101-120,215040,34.039664337739126,8.636544962588554,1570.15,0.0,1,1.0,0.5
7,140,121-140,245760,26.21257082337059,7.143505355850435,1187.45,0.0,1,1.0,0.5
8,160,141-160,276480,33.32929243007208,8.6679318102906,1312.4,0.0,1,1.0,0.5
9,180,161-180,276480,32.6761656867234,8.431741430746074,1147.45,0.0,1,1.0,0.5
10,200,181-200,307200,28.07297383033005,7.502946324279239,988.5,0.0,1,1.0,0.5
11,220,201-220,337920,30.23164076408675,7.926092290038244,1134.3,0.0,1,1.0,0.5
12,240,221-240,337920,33.74620957932199,8.629188709229645,1168.2,0.0,1,1.0,0.5
13,260,241-260,368640,34.05825206595574,8.677154273583932,1048.95,0.0,1,1.0,0.5
14,280,261-280,399360,32.9381636695768,8.41712148730072,985.9,0.0,1,1.0,0.5
15,300,281-300,430080,35.013387909451964,8.944557625979746,1215.45,0.0,1,1.0,0.5
16,320,301-320,460800,32.695673158767526,8.422523125029908,1169.2,0.0,1,1.0,0.5
17,340,321-340,460800,46.48545728670849,11.171809517083876,1373.25,0.0,1,1.0,0.5
18,360,341-360,491520,32.496370721148075,8.484174732038037,1374.35,0.0,1,1.0,0.5
19,380,361-380,552960,71.33441135639501,16.213358606909985,1829.3,0.0,1,1.0,0.5
20,400,381-400,583680,58.747905189400285,13.667100322289343,1880.65,0.0,1,1.0,0.5
21,420,401-420,614400,54.140551004764646,12.732052418013268,1470.5,0.0,1,1.0,0.5
22,440,421-440,645120,84.40380943026538,18.873250225270723,2211.6,0.0,1,1.0,0.5
23,460,441-460,675840,72.3837216344062,16.39902197503612,1686.35,0.0,1,1.0,0.5
24,480,461-480,737280,52.10625092280493,12.34080484393718,1469.65,0.0,1,1.0,0.5
25,500,481-500,737280,57.18699567639536,13.385912680051621,1554.55,0.0,1,1.0,0.5
26,520,501-520,798720,88.29438139609734,19.565601394432385,2045.6,0.0,1,1.0,0.5
27,540,521-540,829440,64.65302633430441,14.892086170068279,1657.85,0.0,1,1.0,0.5
28,560,541-560,860160,68.24705187723225,15.64394669228617,1806.75,0.0,1,1.0,0.5
29,580,561-580,921600,118.56187024839821,25.680073180531828,2308.0,0.0,1,1.0,0.5
30,600,581-600,952320,72.69768400474342,16.760940084989336,2022.3,0.0,1,1.0,0.5
31,620,601-620,1013760,102.35421890929763,22.529126864498757,2136.05,0.0,1,1.0,0.5
32,640,621-640,1044480,127.76887689566502,27.735933964394746,2730.15,0.0,1,1.0,0.533,678,659-678,1198080,78.06333543086781,17.664800178786543,1838.75,0.0,1,1.0,0.5
34,698,679-698,1228800,119.65875377672873,25.99912812111138,2565.95,0.0,1,1.0,0.5
35,718,699-718,1290240,142.68696648857284,30.554106998601547,2620.05,0.0,1,1.0,0.5
36,738,719-738,1351680,170.8312305237322,35.7906261002174,3228.45,5.0,1,1.0,0.5
37,758,739-758,1382400,104.86194155970625,23.017196813684325,2043.1,0.0,1,1.0,0.5
38,778,759-778,1443840,184.72707764934876,37.86537817571862,3015.7,10.0,1,1.0,0.5
39,798,779-798,1505280,129.160575562347,27.8595163862661,2447.65,0.0,1,1.0,0.5
40,818,799-818,1566720,141.5313199669117,29.921853164858657,2650.65,5.0,1,1.0,0.5
41,838,819-838,1628160,161.57098697837688,34.33498519634602,2840.45,0.0,1,1.0,0.5
42,858,839-858,1658880,166.38920840811244,35.437975833239896,3090.5,0.0,1,1.0,0.5
43,878,859-878,1720320,154.62973398413178,32.56875660423987,2699.1,5.0,1,1.0,0.5
44,898,879-898,1781760,169.81233022747338,35.55952718123766,2667.7,5.0,1,1.0,0.5
45,918,899-918,1843200,136.85425030186894,29.622269064644108,2498.15,0.0,1,1.0,0.5
46,938,919-938,1904640,251.18921440330746,50.19728533539443,3498.35,20.0,1,1.0,0.5
47,958,939-958,1996800,306.4921034093461,60.04525108394121,3852.0,30.0,3,1.0,0.75
48,978,959-978,2058240,284.0466209383909,56.07036006188213,3800.0,25.0,4,1.0,1.0
49,998,979-998,2150400,304.4682793009579,60.14184456641375,3980.0,25.0,4,1.0,1.0
50,1018,999-1018,2211840,271.2413674766813,53.050339450812054,3700.0,30.0,4,1.0,1.0
51,1038,1019-1038,2304000,259.4157062443401,51.70972859941652,3423.3,20.0,4,1.0,1.0
52,1058,1039-1058,2365440,306.66575610361195,60.15852819904326,3991.05,30.0,4,1.0,1.0
53,1078,1059-1078,2426880,277.3606376237023,54.19012486601586,3464.0,30.0,4,1.0,1.0
54,1098,1079-1098,2519040,295.5743332790717,57.88164720183882,3698.7,30.0,4,1.0,1.0
55,1118,1099-1118,2580480,334.48619514754796,64.40062471539156,3882.25,40.0,4,1.0,1.0
56,1138,1119-1138,2641920,310.3365906983966,59.52805278355994,3513.75,40.0,4,1.0,1.0
57,1158,1139-1158,2703360,226.67113497098595,44.51312691146837,2793.45,25.0,4,1.0,1.0
58,1178,1159-1178,2734080,120.51242384800712,26.20881854851742,2051.65,0.0,4,1.0,1.0
59,1198,1179-1198,2795520,144.24722984534418,29.2301383916621,2137.35,15.0,4,1.0,1.0
60,1218,1199-1218,2826240,177.22713142162996,35.7577794534787,2413.6,15.0,4,1.0,1.0
61,1238,1219-1238,2887680,188.45791658516694,37.41997920857168,2459.0,20.0,4,1.0,1.0
62,1258,1239-1258,2949120,251.09789971938397,49.39047418350708,2968.0,25.0,4,1.0,1.0
63,1278,1259-1278,3010560,187.0300232611952,37.16244097227916,2653.75,20.0,4,1.0,1.0
64,1298,1279-1298,3072000,299.18590155410436,57.91727249433332,3616.2,35.0,4,1.0,1.0
65,1318,1299-1318,3164160,254.77682919939238,50.83142922668459,3392.2,20.0,4,1.0,1.0
66,1338,1319-1338,3225600,392.6953225085693,74.42056875529623,4549.1,55.0,4,1.0,1.0
67,1358,1339-1358,3317760,281.8206815286658,54.43163338130286,3357.6,35.0,4,1.0,1.0
68,1378,1359-1378,3409920,409.844475369223,77.32230985861403,4602.5,60.0,4,1.0,1.0
69,1398,1379-1398,3471360,359.04178279524064,69.32751186202952,4201.7,40.0,4,1.0,1.0
70,1418,1399-1418,3563520,354.78698129409594,67.36650922910704,3993.35,50.0,4,1.0,1.0
71,1438,1419-1438,3624960,341.17299235970773,64.6283860429944,3726.15,50.0,4,1.0,1.0
72,1458,1439-1458,3717120,285.8020692636546,56.43350803329687,3591.05,25.0,4,1.0,1.0
73,1478,1459-1478,3809280,414.3073095236733,78.86634142493047,4748.8,55.0,4,1.0,1.0
