======================================================================
TRAINING SESSION - 2026-02-09 17:06:38
======================================================================
Episode    1: fell        | Steps:  309 | Distance:  -0.04m | Reward:   -8.9 | Corridor: holes+50%bumps+random | Seed: 9563
Episode    2: fell        | Steps:  336 | Distance:  -0.07m | Reward:   -9.0 | Corridor: holes+50%bumps+random | Seed: 7719
Episode    3: fell        | Steps:  372 | Distance:  -0.05m | Reward:   -8.9 | Corridor: holes+50%bumps+random | Seed: 5360
Episode    4: fell        | Steps:  574 | Distance:  -0.06m | Reward:   -9.0 | Corridor: holes+50%bumps+random | Seed: 97
Episode    5: fell        | Steps:  616 | Distance:  -0.03m | Reward:   -8.9 | Corridor: holes+50%bumps+random | Seed: 2913
Episode    6: no_progress | Steps:  750 | Distance:   1.04m | Reward:   -2.6 | Corridor: holes+50%bumps+random | Seed: 6461
Episode    7: no_progress | Steps:  750 | Distance:   0.72m | Reward:   -4.2 | Corridor: holes+50%bumps+random | Seed: 8650
Episode    8: no_progress | Steps:  750 | Distance:   0.98m | Reward:   -2.8 | Corridor: holes+50%bumps+random | Seed: 7116
Episode    9: no_progress | Steps:  750 | Distance:   0.59m | Reward:   -4.8 | Corridor: holes+50%bumps+random | Seed: 3021
Episode   10: no_progress | Steps:  750 | Distance:   0.89m | Reward:   -3.3 | Corridor: holes+50%bumps+random | Seed: 9520
Episode   11: no_progress | Steps:  750 | Distance:   0.31m | Reward:   -6.2 | Corridor: holes+50%bumps+random | Seed: 7225
Episode   12: no_progress | Steps:  750 | Distance:   0.36m | Reward:   -6.0 | Corridor: holes+50%bumps+random | Seed: 4233
Episode   13: no_progress | Steps:  750 | Distance:   0.90m | Reward:   -3.2 | Corridor: holes+50%bumps+random | Seed: 4130
Episode   14: no_progress | Steps:  750 | Distance:   0.56m | Reward:   -4.9 | Corridor: holes+50%bumps+random | Seed: 6580
Episode   15: no_progress | Steps:  750 | Distance:   0.87m | Reward:   -3.4 | Corridor: holes+50%bumps+random | Seed: 2763
Episode   16: no_progress | Steps:  750 | Distance:   0.67m | Reward:   -4.4 | Corridor: holes+50%bumps+random | Seed: 460
Episode   17: no_progress | Steps:  750 | Distance:   0.44m | Reward:   -5.5 | Corridor: holes+50%bumps+random | Seed: 1603
Episode   18: no_progress | Steps:  750 | Distance:   0.48m | Reward:   -5.4 | Corridor: holes+50%bumps+random | Seed: 1178
Episode   19: no_progress | Steps:  750 | Distance:   0.79m | Reward:   -3.8 | Corridor: holes+50%bumps+random | Seed: 4984
Episode   20: no_progress | Steps:  750 | Distance:   0.93m | Reward:   -3.1 | Corridor: holes+50%bumps+random | Seed: 6096
Episode   21: fell        | Steps:  445 | Distance:  -0.04m | Reward:   -8.9 | Corridor: holes+50%bumps+random | Seed: 5665
Episode   22: fell        | Steps:  210 | Distance:  -0.05m | Reward:   -8.9 | Corridor: holes+50%bumps+random | Seed: 1316
Episode   23: no_progress | Steps: 1500 | Distance:   1.78m | Reward:    1.1 | Corridor: holes+50%bumps+random | Seed: 2401
Episode   24: no_progress | Steps:  750 | Distance:   0.83m | Reward:   -3.6 | Corridor: holes+50%bumps+random | Seed: 9392
Episode   25: no_progress | Steps:  750 | Distance:   0.75m | Reward:   -4.0 | Corridor: holes+50%bumps+random | Seed: 6500
Episode   26: no_progress | Steps:  750 | Distance:   0.97m | Reward:   -2.9 | Corridor: holes+50%bumps+random | Seed: 5876
Episode   27: no_progress | Steps:  750 | Distance:   0.76m | Reward:   -3.9 | Corridor: holes+50%bumps+random | Seed: 8570
Episode   28: no_progress | Steps:  750 | Distance:   0.93m | Reward:   -3.1 | Corridor: holes+50%bumps+random | Seed: 4325
Episode   29: flipped     | Steps: 2160 | Distance:   5.23m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 140
Episode   30: flipped     | Steps: 1791 | Distance:   5.22m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 2952
Episode   31: fell        | Steps: 1869 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 6035
Episode   32: fell        | Steps: 1958 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 5296
Episode   33: fell        | Steps: 2748 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 3660
Episode   34: flipped     | Steps: 2754 | Distance:   5.22m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 9337
Episode   35: fell        | Steps: 2800 | Distance:   5.06m | Reward:   16.5 | Corridor: holes+50%bumps+random | Seed: 4501
Episode   36: fell        | Steps: 2087 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 5492
Episode   37: fell        | Steps: 2125 | Distance:   5.16m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 8888
Episode   38: flipped     | Steps: 1491 | Distance:   5.23m | Reward:   17.3 | Corridor: holes+50%bumps+random | Seed: 3137
Episode   39: flipped     | Steps: 1533 | Distance:   5.21m | Reward:   17.3 | Corridor: holes+50%bumps+random | Seed: 5299
Episode   40: flipped     | Steps: 2088 | Distance:   5.33m | Reward:   17.9 | Corridor: holes+50%bumps+random | Seed: 5780
Episode   41: fell        | Steps: 1603 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 545
Episode   42: fell        | Steps: 2373 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 1932
Episode   43: fell        | Steps: 1649 | Distance:   5.08m | Reward:   16.6 | Corridor: holes+50%bumps+random | Seed: 3493
Episode   44: fell        | Steps: 3156 | Distance:   9.12m | Reward:   36.8 | Corridor: holes+50%bumps+random | Seed: 8471
Episode   45: fell        | Steps: 1668 | Distance:   5.03m | Reward:   16.3 | Corridor: holes+50%bumps+random | Seed: 8400
Episode   46: fell        | Steps: 3218 | Distance:   7.69m | Reward:   29.6 | Corridor: holes+50%bumps+random | Seed: 5077
Episode   47: fell        | Steps: 2552 | Distance:   7.07m | Reward:   26.5 | Corridor: holes+50%bumps+random | Seed: 3355
Episode   48: flipped     | Steps: 2686 | Distance:   7.69m | Reward:   29.7 | Corridor: holes+50%bumps+random | Seed: 3030
Episode   49: fell        | Steps: 1304 | Distance:   7.06m | Reward:   26.5 | Corridor: holes+50%bumps+random | Seed: 8595
Episode   50: fell        | Steps: 2949 | Distance:   9.60m | Reward:   39.2 | Corridor: holes+50%bumps+random | Seed: 330
Episode   51: fell        | Steps:  953 | Distance:   5.05m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 9967
Episode   52: no_progress | Steps: 3750 | Distance:   5.61m | Reward:   19.0 | Corridor: holes+50%bumps+random | Seed: 6410
Episode   53: no_progress | Steps: 3750 | Distance:   5.48m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 5496
