batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
1,20,1-20,65536,-10.0,4.248174446607734,257.15,0.0
2,40,21-40,65536,-10.0,4.359820667402268,257.3,0.0
3,60,41-60,65536,-10.0,3.1407355885236674,189.4,0.0
4,80,61-80,65536,-10.0,2.630728578423221,224.3,0.0
5,100,81-100,65536,-10.0,2.7305270963395833,199.05,0.0
6,120,101-120,65536,-9.501192968804,5.207931228034562,371.55,0.0
7,140,121-140,65536,-10.0,5.462887112532575,394.7,0.0
8,160,141-160,65536,-9.493984959331028,7.552897264627309,537.4,0.0
9,180,161-180,65536,-10.0,5.576475702810436,449.7,0.0
10,200,181-200,131072,-10.0,5.655425364366818,420.65,0.0
11,220,201-220,131072,-9.491588747136978,5.318824832205292,373.65,0.0
12,240,221-240,131072,-10.0,5.132433179214158,361.9,0.0
13,260,241-260,131072,-10.0,5.468820025857482,355.0,0.0
14,280,261-280,131072,-10.0,3.9703142396161235,279.35,0.0
15,300,281-300,131072,-10.0,5.2518014539939095,363.2,0.0
16,320,301-320,131072,-10.0,3.500202784565346,251.8,0.0
17,340,321-340,131072,-10.0,3.285702897739376,229.7,0.0
18,360,341-360,131072,-10.0,4.376506905941705,325.2,0.0
19,380,361-380,131072,-10.0,3.9253073235257183,291.15,0.0
20,400,381-400,196608,-10.0,2.440517357614965,198.15,0.0
21,420,401-420,196608,-10.0,3.138504079999609,234.35,0.0
22,440,421-440,196608,-10.0,3.640185701501783,230.5,0.0
23,460,441-460,196608,-10.0,3.5622521274928842,266.2,0.0
24,480,461-480,196608,-10.0,4.455071391052513,366.3,0.0
25,500,481-500,196608,-10.0,3.5563782207896693,252.8,0.0
26,520,501-520,196608,-10.0,4.163307293000481,310.35,0.0
27,540,521-540,196608,-9.498163572643548,4.18142542722453,366.0,0.0
28,560,541-560,196608,-10.0,4.148070288797334,365.05,0.0
29,580,561-580,196608,-10.0,4.288677498568119,339.3,0.0
30,600,581-600,196608,-10.0,3.666851297511755,325.65,0.0
31,620,601-620,262144,-10.0,4.2702856207011015,351.05,0.0
32,640,621-640,262144,-10.0,4.367992199875075,378.85,0.0
33,660,641-660,262144,-9.498746391024255,3.0640521813761867,400.3,0.0
34,680,661-680,262144,-10.0,3.4186933886879407,377.7,0.0
35,700,681-700,262144,-10.0,3.459904789352371,400.65,0.0
36,720,701-720,262144,-9.497966373966861,4.474214691482458,464.6,0.0
37,740,721-740,262144,-9.497873620820226,4.887155244257217,445.6,0.0
38,760,741-760,262144,-9.00144521397604,4.579749352873417,471.5,0.0
39,780,761-780,327680,-10.0,4.939916263024271,396.1,0.0
40,800,781-800,327680,-9.497694097340162,5.186346205700536,526.0,0.0
41,820,801-820,327680,-10.0,5.5175057606467615,453.9,0.0
42,840,821-840,327680,-10.0,4.152358779491028,390.2,0.0
43,860,841-860,327680,-10.0,4.981352841183789,442.35,0.0
44,880,861-880,327680,-9.499591903300422,4.8549528302489815,447.9,0.0
45,900,881-900,327680,-9.499973088631961,5.360983393570534,475.25,0.0
46,920,901-920,393216,-10.0,5.106510878209647,388.45,0.0
47,940,921-940,393216,-10.0,4.286043018012219,406.8,0.0
48,960,941-960,393216,-9.499824312400824,5.410545115787669,486.0,0.0
49,980,961-980,393216,-9.499406335225254,4.063826856576795,445.4,0.0
50,1000,981-1000,393216,-10.0,4.748676780204507,389.45,0.0
51,1020,1001-1020,393216,-10.0,4.3151047009177415,495.35,0.0
52,1040,1021-1040,393216,-8.997533068493865,3.565828004912516,547.3,0.0
53,1060,1041-1060,458752,-7.996714110731672,4.609211716433167,576.3,0.0
54,1080,1061-1080,458752,-10.0,3.9227917808446278,448.85,0.0
55,1100,1081-1100,458752,-9.500967734465585,3.696831986909639,546.65,0.0
56,1120,1101-1120,458752,-10.0,3.967001789120694,451.4,0.0
57,1140,1121-1140,458752,-9.001531748850748,4.877776294629313,423.8,0.0
58,1160,1141-1160,458752,-10.0,3.4983739606246402,342.35,0.0
59,1180,1161-1180,458752,-10.0,3.3734894097679486,298.05,0.0
60,1200,1181-1200,458752,-10.0,4.170188111770314,409.3,0.0
61,1220,1201-1220,524288,-10.0,3.5634979823809068,338.05,0.0
62,1240,1221-1240,524288,-10.0,3.822719429919038,328.8,0.0
63,1260,1241-1260,524288,-10.0,3.4772461261692955,249.55,0.0
64,1280,1261-1280,524288,-10.0,3.7801805460024958,282.85,0.0
65,1300,1281-1300,524288,-10.0,2.8391290512989924,310.35,0.0
66,1320,1301-1320,524288,-10.0,3.5474927156183775,277.3,0.0
67,1340,1321-1340,524288,-10.0,3.728609508363989,283.3,0.0
68,1360,1341-1360,524288,-10.0,3.6505084940996104,320.05,0.0
