
======================================================================
TRAINING SESSION - 2026-02-08 18:18:28
======================================================================
Episode   1: fell      | Steps:  331 | Distance: -0.05m | Reward:  -8.9 | Corridor: holes+100%bumps-random | Seed: 6026
Episode   2: fell      | Steps:  416 | Distance: -0.07m | Reward:  -9.0 | Corridor: holes+100%bumps-random | Seed: 5474
Episode   3: fell      | Steps:  440 | Distance: -0.05m | Reward:  -8.9 | Corridor: holes+100%bumps-random | Seed: 4346
Episode   4: no_progress | Steps:  500 | Distance:  0.82m | Reward:  -3.6 | Corridor: holes+100%bumps-random | Seed: 6461
Episode   5: no_progress | Steps:  500 | Distance:  0.75m | Reward:  -4.0 | Corridor: holes+100%bumps-random | Seed: 1154
Episode   6: no_progress | Steps:  500 | Distance:  0.54m | Reward:  -5.1 | Corridor: holes+100%bumps-random | Seed: 9541
Episode   7: no_progress | Steps:  500 | Distance:  1.04m | Reward:  -2.6 | Corridor: holes+100%bumps-random | Seed: 1922
Episode   8: no_progress | Steps:  500 | Distance:  0.98m | Reward:  -2.8 | Corridor: holes+100%bumps-random | Seed: 4157
Episode   9: no_progress | Steps:  500 | Distance:  0.47m | Reward:  -5.4 | Corridor: holes+100%bumps-random | Seed: 9355
Episode  10: no_progress | Steps:  500 | Distance:  0.77m | Reward:  -3.9 | Corridor: holes+100%bumps-random | Seed: 4880
Episode  11: no_progress | Steps:  500 | Distance:  0.62m | Reward:  -4.6 | Corridor: holes+100%bumps-random | Seed: 8449
Episode  12: no_progress | Steps:  500 | Distance:  1.08m | Reward:  -2.3 | Corridor: holes+100%bumps-random | Seed: 8612
Episode  13: no_progress | Steps:  500 | Distance:  0.61m | Reward:  -4.7 | Corridor: holes+100%bumps-random | Seed: 8323
Episode  14: no_progress | Steps:  500 | Distance:  0.44m | Reward:  -5.5 | Corridor: holes+100%bumps-random | Seed: 5391
Episode  15: no_progress | Steps:  500 | Distance:  0.97m | Reward:  -2.9 | Corridor: holes+100%bumps-random | Seed: 1834
Episode  16: no_progress | Steps:  500 | Distance:  0.76m | Reward:  -4.0 | Corridor: holes+100%bumps-random | Seed: 5951
Episode  17: no_progress | Steps:  500 | Distance:  0.75m | Reward:  -4.0 | Corridor: holes+100%bumps-random | Seed: 5116
Episode  18: no_progress | Steps:  500 | Distance:  0.90m | Reward:  -3.2 | Corridor: holes+100%bumps-random | Seed: 3493
Episode  19: no_progress | Steps:  500 | Distance:  0.59m | Reward:  -4.8 | Corridor: holes+100%bumps-random | Seed: 9985
Episode  20: no_progress | Steps:  500 | Distance:  0.72m | Reward:  -4.2 | Corridor: holes+100%bumps-random | Seed: 6489
Episode  21: no_progress | Steps:  500 | Distance:  0.77m | Reward:  -3.9 | Corridor: holes+100%bumps-random | Seed: 7497
Episode  22: no_progress | Steps:  500 | Distance:  0.86m | Reward:  -3.5 | Corridor: holes+100%bumps-random | Seed: 8398
Episode  23: no_progress | Steps:  500 | Distance:  0.88m | Reward:  -3.4 | Corridor: holes+100%bumps-random | Seed: 6512
Episode  24: no_progress | Steps:  500 | Distance:  0.87m | Reward:  -3.4 | Corridor: holes+100%bumps-random | Seed: 2956
Episode  25: no_progress | Steps:  500 | Distance:  0.78m | Reward:  -3.9 | Corridor: holes+100%bumps-random | Seed: 7967
Episode  26: no_progress | Steps:  500 | Distance:  0.67m | Reward:  -4.4 | Corridor: holes+100%bumps-random | Seed: 7126
Episode  27: no_progress | Steps:  500 | Distance:  0.42m | Reward:  -5.6 | Corridor: holes+100%bumps-random | Seed: 5134
Episode  28: fell      | Steps:  361 | Distance: -0.06m | Reward:  -9.0 | Corridor: holes+100%bumps-random | Seed: 3594
Episode  29: no_progress | Steps:  500 | Distance:  0.70m | Reward:  -4.2 | Corridor: holes+100%bumps-random | Seed: 1437
Episode  30: no_progress | Steps:  500 | Distance:  0.63m | Reward:  -4.7 | Corridor: holes+100%bumps-random | Seed: 8186
Episode  31: no_progress | Steps: 1000 | Distance:  2.05m | Reward:   2.5 | Corridor: holes+100%bumps-random | Seed: 190
Episode  32: no_progress | Steps: 1000 | Distance:  0.92m | Reward:  -3.1 | Corridor: holes+100%bumps-random | Seed: 6117
Episode  33: no_progress | Steps: 1000 | Distance:  1.19m | Reward:  -1.8 | Corridor: holes+100%bumps-random | Seed: 3008
Episode  34: no_progress | Steps: 1000 | Distance:  0.94m | Reward:  -3.0 | Corridor: holes+100%bumps-random | Seed: 1143
Episode  35: no_progress | Steps:  500 | Distance:  0.65m | Reward:  -4.5 | Corridor: holes+100%bumps-random | Seed: 2980
Episode  36: no_progress | Steps:  500 | Distance:  0.35m | Reward:  -6.0 | Corridor: holes+100%bumps-random | Seed: 3575
Episode  37: no_progress | Steps:  500 | Distance:  0.47m | Reward:  -5.4 | Corridor: holes+100%bumps-random | Seed: 7007
Episode  38: no_progress | Steps:  500 | Distance:  0.51m | Reward:  -5.2 | Corridor: holes+100%bumps-random | Seed: 1033
Episode  39: no_progress | Steps:  500 | Distance:  0.58m | Reward:  -4.8 | Corridor: holes+100%bumps-random | Seed: 6428
Episode  40: no_progress | Steps:  500 | Distance:  0.80m | Reward:  -3.8 | Corridor: holes+100%bumps-random | Seed: 6771
