Episode      1 | Return:    -8.9 | Distance:  -0.04m | Steps:   89 | fell
Episode      2 | Return:    -9.0 | Distance:  -0.08m | Steps:  104 | fell
Episode      3 | Return:    -9.3 | Distance:  -0.13m | Steps:  121 | fell
Episode      4 | Return:    -9.1 | Distance:  -0.08m | Steps:  124 | fell
Episode      5 | Return:    -9.0 | Distance:  -0.06m | Steps:  125 | fell
Episode      6 | Return:    -8.9 | Distance:  -0.04m | Steps:  129 | fell
Episode      7 | Return:    -8.9 | Distance:  -0.04m | Steps:  142 | fell
Episode      8 | Return:    -9.2 | Distance:  -0.10m | Steps:  146 | fell
Episode      9 | Return:    -9.0 | Distance:  -0.06m | Steps:  154 | fell
Episode     10 | Return:    -8.9 | Distance:  -0.06m | Steps:  185 | fell
Episode     11 | Return:    -9.7 | Distance:  -0.23m | Steps:  187 | fell
Episode     12 | Return:    -9.1 | Distance:  -0.08m | Steps:  194 | fell
Episode     13 | Return:    -9.1 | Distance:  -0.09m | Steps:  105 | fell
Episode     14 | Return:    -9.2 | Distance:  -0.09m | Steps:  242 | fell
Episode     15 | Return:    -9.1 | Distance:  -0.08m | Steps:  275 | fell
Episode     16 | Return:    -9.0 | Distance:  -0.07m | Steps:  140 | fell
Episode     17 | Return:    -9.1 | Distance:  -0.09m | Steps:   92 | fell
Episode     18 | Return:    -9.0 | Distance:  -0.05m | Steps:  175 | fell
Episode     19 | Return:    -8.8 | Distance:  -0.03m | Steps:  321 | fell
Episode     20 | Return:    -9.0 | Distance:  -0.06m | Steps:  246 | fell
Episode     21 | Return:    -9.0 | Distance:  -0.05m | Steps:  119 | fell
Episode     22 | Return:    -9.1 | Distance:  -0.11m | Steps:  436 | fell
Episode     23 | Return:    -9.0 | Distance:  -0.07m | Steps:  437 | fell
Episode     24 | Return:    -8.9 | Distance:  -0.04m | Steps:  288 | fell
Episode     25 | Return:    -9.2 | Distance:  -0.11m | Steps:  156 | fell
Episode     26 | Return:    -9.1 | Distance:  -0.09m | Steps:  380 | fell
Episode     27 | Return:    -9.2 | Distance:  -0.12m | Steps:  554 | fell
Episode     28 | Return:    -9.1 | Distance:  -0.09m | Steps:  143 | fell
Episode     29 | Return:    -8.8 | Distance:  -0.04m | Steps:  255 | fell
Episode     30 | Return:    -8.9 | Distance:  -0.04m | Steps:  598 | fell
Episode     31 | Return:    -4.6 | Distance:   0.63m | Steps:  750 | no_progress
Episode     32 | Return:    -3.6 | Distance:   0.86m | Steps:  750 | no_progress
Episode     33 | Return:    -5.6 | Distance:   0.44m | Steps:  750 | no_progress
Episode     34 | Return:    -4.0 | Distance:   0.77m | Steps:  750 | no_progress
Episode     35 | Return:    -5.5 | Distance:   0.47m | Steps:  750 | no_progress
Episode     36 | Return:    -5.8 | Distance:   0.41m | Steps:  750 | no_progress
Episode     37 | Return:    -9.1 | Distance:  -0.09m | Steps:  632 | fell
Episode     38 | Return:    -8.9 | Distance:  -0.06m | Steps:  560 | fell
Episode     39 | Return:    17.0 | Distance:   5.16m | Steps:  915 | flipped
Episode     40 | Return:    -8.9 | Distance:  -0.05m | Steps:  164 | fell
Episode     41 | Return:    -9.0 | Distance:  -0.06m | Steps:  319 | fell
Episode     42 | Return:    -9.6 | Distance:  -0.19m | Steps:  237 | fell
Episode     43 | Return:    -3.0 | Distance:   0.98m | Steps:  750 | no_progress
Episode     44 | Return:    -3.3 | Distance:   0.92m | Steps:  750 | no_progress
Episode     45 | Return:    -9.2 | Distance:  -0.11m | Steps: 1019 | fell
Episode     46 | Return:    -2.8 | Distance:   1.00m | Steps:  750 | no_progress
Episode     47 | Return:    -3.0 | Distance:   0.93m | Steps:  750 | no_progress
Episode     48 | Return:    -5.2 | Distance:   0.51m | Steps:  750 | no_progress
Episode     49 | Return:    16.3 | Distance:   5.03m | Steps: 1411 | fell
Episode     50 | Return:    16.9 | Distance:   5.15m | Steps: 1456 | flipped
Episode     51 | Return:    -8.9 | Distance:  -0.05m | Steps:  709 | fell
Episode     52 | Return:    17.4 | Distance:   5.22m | Steps: 1026 | flipped
Episode     53 | Return:    16.5 | Distance:   5.07m | Steps: 1180 | fell
Episode     54 | Return:    -1.5 | Distance:   1.25m | Steps: 1500 | no_progress
Episode     55 | Return:     9.4 | Distance:   3.42m | Steps: 1500 | no_progress
Episode     56 | Return:    -3.0 | Distance:   0.99m | Steps:  750 | no_progress
Episode     57 | Return:    -9.0 | Distance:  -0.06m | Steps:  410 | fell
Episode     58 | Return:    -9.0 | Distance:  -0.06m | Steps:  179 | fell
Episode     59 | Return:    -1.8 | Distance:   1.23m | Steps: 1500 | no_progress
Episode     60 | Return:    -4.6 | Distance:   0.62m | Steps:  750 | no_progress
Episode     61 | Return:    -1.0 | Distance:   1.37m | Steps: 1500 | no_progress
Episode     62 | Return:     5.3 | Distance:   2.61m | Steps: 1500 | no_progress
Episode     63 | Return:    -9.1 | Distance:  -0.08m | Steps:  228 | fell
Episode     64 | Return:    16.5 | Distance:   5.08m | Steps: 1145 | fell
Episode     65 | Return:    -4.1 | Distance:   0.78m | Steps:  750 | no_progress
Episode     66 | Return:     8.1 | Distance:   3.21m | Steps: 1500 | no_progress
Episode     67 | Return:    16.4 | Distance:   5.05m | Steps:  952 | fell
Episode     68 | Return:    16.8 | Distance:   5.12m | Steps: 1358 | fell
Episode     69 | Return:    17.0 | Distance:   5.17m | Steps: 1323 | flipped
Episode     70 | Return:    16.8 | Distance:   5.14m | Steps: 2383 | fell
Episode     71 | Return:    26.9 | Distance:   7.14m | Steps: 1760 | flipped
Episode     72 | Return:    16.6 | Distance:   5.10m | Steps:  708 | fell
Episode     73 | Return:    17.3 | Distance:   5.23m | Steps: 1285 | flipped
Episode     74 | Return:    18.0 | Distance:   5.34m | Steps: 1069 | flipped
Episode     75 | Return:    17.2 | Distance:   5.20m | Steps:  892 | flipped
Episode     76 | Return:    26.8 | Distance:   7.15m | Steps: 2688 | fell
Episode     77 | Return:    29.3 | Distance:   7.65m | Steps: 1937 | fell
Episode     78 | Return:    18.0 | Distance:   5.34m | Steps: 1339 | flipped
Episode     79 | Return:    16.9 | Distance:   5.15m | Steps: 1034 | fell
Episode     80 | Return:    27.0 | Distance:   7.20m | Steps: 1752 | flipped
Episode     81 | Return:    12.4 | Distance:   4.09m | Steps: 2250 | no_progress
Episode     82 | Return:     1.5 | Distance:   1.93m | Steps: 1500 | no_progress
Episode     83 | Return:    26.5 | Distance:   7.07m | Steps: 1017 | fell
Episode     84 | Return:    16.6 | Distance:   5.09m | Steps: 1812 | fell
Episode     85 | Return:    16.4 | Distance:   5.05m | Steps:  509 | fell
Episode     86 | Return:    17.9 | Distance:   5.32m | Steps: 1054 | flipped
Episode     87 | Return:    16.5 | Distance:   5.07m | Steps:  788 | fell
Episode     88 | Return:    11.7 | Distance:   4.00m | Steps: 2250 | no_progress
Episode     89 | Return:     7.3 | Distance:   3.11m | Steps: 1500 | no_progress
Episode     90 | Return:    41.3 | Distance:  10.06m | Steps: 3612 | fell
Episode     91 | Return:     4.1 | Distance:   2.39m | Steps: 1500 | no_progress
Episode     92 | Return:    28.8 | Distance:   7.62m | Steps: 2882 | fell
Episode     93 | Return:    66.3 | Distance:  15.06m | Steps: 2947 | fell
Episode     94 | Return:    18.0 | Distance:   5.33m | Steps: 1162 | flipped
Episode     95 | Return:    69.9 | Distance:  15.73m | Steps: 3270 | flipped
Episode     96 | Return:    19.1 | Distance:   5.50m | Steps: 2250 | no_progress
Episode     97 | Return:    17.2 | Distance:   5.10m | Steps: 2250 | no_progress
Episode     98 | Return:    18.1 | Distance:   5.33m | Steps: 3000 | no_progress
Episode     99 | Return:    38.6 | Distance:   9.54m | Steps: 2761 | fell
Episode    100 | Return:    17.1 | Distance:   5.23m | Steps: 1504 | flipped
Episode    101 | Return:    -0.3 | Distance:   1.59m | Steps: 1500 | no_progress
Episode    102 | Return:    39.9 | Distance:   9.72m | Steps: 1279 | flipped
Episode    103 | Return:    17.1 | Distance:   5.19m | Steps:  597 | fell
Episode    104 | Return:    16.5 | Distance:   5.07m | Steps:  441 | fell
Episode    105 | Return:     1.9 | Distance:   1.99m | Steps: 1500 | no_progress
Episode    106 | Return:    16.9 | Distance:   5.18m | Steps: 1103 | fell
Episode    107 | Return:    16.9 | Distance:   5.16m | Steps:  631 | fell
Episode    108 | Return:    39.1 | Distance:   9.59m | Steps: 1196 | fell
Episode    109 | Return:    66.3 | Distance:  15.04m | Steps: 2238 | fell
Episode    110 | Return:    17.3 | Distance:   5.22m | Steps: 1093 | fell
Episode    111 | Return:    53.4 | Distance:  12.57m | Steps: 2861 | fell
Episode    112 | Return:    45.6 | Distance:  10.71m | Steps: 3750 | no_progress
Episode    113 | Return:    17.3 | Distance:   5.22m | Steps: 2250 | no_progress
Episode    114 | Return:    18.8 | Distance:   5.52m | Steps: 2250 | no_progress
Episode    115 | Return:    39.1 | Distance:   9.58m | Steps: 1138 | fell
Episode    116 | Return:    64.2 | Distance:  14.63m | Steps: 2542 | fell
Episode    117 | Return:    18.0 | Distance:   5.34m | Steps:  655 | flipped
Episode    118 | Return:    17.1 | Distance:   5.17m | Steps:  594 | flipped
Episode    119 | Return:    53.8 | Distance:  12.55m | Steps: 2202 | fell
Episode    120 | Return:    16.6 | Distance:   5.06m | Steps:  556 | fell
Episode    121 | Return:    17.3 | Distance:   5.20m | Steps:  459 | flipped
Episode    122 | Return:    17.0 | Distance:   5.16m | Steps:  475 | flipped
Episode    123 | Return:    16.5 | Distance:   5.06m | Steps:  478 | fell
Episode    124 | Return:    18.6 | Distance:   5.48m | Steps:  497 | fell
Episode    125 | Return:    17.9 | Distance:   5.33m | Steps:  545 | flipped
Episode    126 | Return:    26.5 | Distance:   7.06m | Steps:  546 | fell
Episode    127 | Return:    17.2 | Distance:   5.20m | Steps:  564 | flipped
Episode    128 | Return:    17.1 | Distance:   5.18m | Steps:  565 | flipped
Episode    129 | Return:    16.9 | Distance:   5.16m | Steps:  587 | fell
Episode    130 | Return:    16.5 | Distance:   5.07m | Steps:  597 | fell
Episode    131 | Return:    16.4 | Distance:   5.06m | Steps:  652 | fell
Episode    132 | Return:    16.4 | Distance:   5.05m | Steps:  662 | fell
Episode    133 | Return:    27.6 | Distance:   7.28m | Steps:  686 | flipped
Episode    134 | Return:    26.8 | Distance:   7.13m | Steps:  763 | fell
Episode    135 | Return:    18.0 | Distance:   5.35m | Steps:  813 | flipped
Episode    136 | Return:    16.5 | Distance:   5.06m | Steps:  358 | fell
Episode    137 | Return:    26.3 | Distance:   7.05m | Steps:  854 | fell
Episode    138 | Return:    43.9 | Distance:  10.56m | Steps:  870 | fell
Episode    139 | Return:    38.9 | Distance:   9.54m | Steps:  944 | fell
Episode    140 | Return:    17.2 | Distance:   5.19m | Steps:  492 | flipped
Episode    141 | Return:    16.6 | Distance:   5.08m | Steps:  486 | fell
Episode    142 | Return:    30.4 | Distance:   7.85m | Steps:  968 | flipped
Episode    143 | Return:    17.0 | Distance:   5.16m | Steps:  410 | flipped
Episode    144 | Return:    17.5 | Distance:   5.24m | Steps:  507 | flipped
Episode    145 | Return:    16.5 | Distance:   5.07m | Steps:  490 | fell
Episode    146 | Return:    16.5 | Distance:   5.06m | Steps:  542 | fell
Episode    147 | Return:    26.7 | Distance:   7.18m | Steps: 1205 | fell
Episode    148 | Return:    16.9 | Distance:   5.14m | Steps:  472 | flipped
Episode    149 | Return:    29.0 | Distance:   7.59m | Steps:  613 | fell
Episode    150 | Return:    26.4 | Distance:   7.09m | Steps: 1281 | fell
Episode    151 | Return:    26.4 | Distance:   7.19m | Steps: 1294 | flipped
Episode    152 | Return:    28.6 | Distance:   7.58m | Steps: 1316 | fell
Episode    153 | Return:    17.2 | Distance:   5.21m | Steps:  690 | flipped
Episode    154 | Return:    27.0 | Distance:   7.15m | Steps:  658 | flipped
Episode    155 | Return:    18.2 | Distance:   5.38m | Steps:  559 | fell
Episode    156 | Return:    56.8 | Distance:  13.16m | Steps: 1483 | flipped
Episode    157 | Return:    29.7 | Distance:   7.69m | Steps:  682 | fell
Episode    158 | Return:     3.8 | Distance:   2.47m | Steps: 1500 | no_progress
Episode    159 | Return:    13.5 | Distance:   4.39m | Steps: 1500 | no_progress
Episode    160 | Return:     5.5 | Distance:   2.72m | Steps: 1500 | no_progress
Episode    161 | Return:    18.9 | Distance:   5.58m | Steps: 1500 | no_progress
Episode    162 | Return:    16.5 | Distance:   5.07m | Steps:  355 | fell
Episode    163 | Return:    17.1 | Distance:   5.17m | Steps:  473 | flipped
Episode    164 | Return:    28.0 | Distance:   7.37m | Steps:  718 | flipped
Episode    165 | Return:    40.9 | Distance:   9.95m | Steps: 1125 | fell
Episode    166 | Return:    63.7 | Distance:  14.59m | Steps: 1699 | fell
Episode    167 | Return:    16.6 | Distance:   5.08m | Steps:  507 | fell
Episode    168 | Return:    42.0 | Distance:  10.15m | Steps:  874 | flipped
Episode    169 | Return:    16.7 | Distance:   5.10m | Steps:  298 | fell
Episode    170 | Return:    16.7 | Distance:   5.10m | Steps:  401 | fell
Episode    171 | Return:    16.8 | Distance:   5.14m | Steps:  414 | fell
Episode    172 | Return:    17.1 | Distance:   5.18m | Steps:  622 | flipped
Episode    173 | Return:    17.0 | Distance:   5.16m | Steps:  475 | flipped
Episode    174 | Return:    39.8 | Distance:   9.71m | Steps: 1018 | flipped
Episode    175 | Return:    43.0 | Distance:  10.36m | Steps: 1076 | flipped
Episode    176 | Return:    57.1 | Distance:  13.18m | Steps: 1250 | flipped
Episode    177 | Return:    29.0 | Distance:   7.57m | Steps:  628 | fell
Episode    178 | Return:    16.9 | Distance:   5.16m | Steps:  649 | fell
Episode    179 | Return:    40.8 | Distance:   9.90m | Steps:  917 | fell
Episode    180 | Return:    40.4 | Distance:   9.84m | Steps:  904 | flipped
Episode    181 | Return:    17.0 | Distance:   5.15m | Steps:  309 | fell
Episode    182 | Return:    17.4 | Distance:   5.22m | Steps:  548 | flipped
Episode    183 | Return:    39.3 | Distance:   9.64m | Steps:  934 | flipped
Episode    184 | Return:    41.6 | Distance:  10.09m | Steps: 1012 | fell
Episode    185 | Return:    84.6 | Distance:  18.69m | Steps: 1757 | fell
Episode    186 | Return:    64.5 | Distance:  14.65m | Steps: 1218 | flipped
Episode    187 | Return:    20.1 | Distance:   5.74m | Steps: 1500 | no_progress
Episode    188 | Return:    29.7 | Distance:   7.70m | Steps:  819 | flipped
Episode    189 | Return:    27.1 | Distance:   7.18m | Steps:  720 | flipped
Episode    190 | Return:    21.3 | Distance:   5.88m | Steps: 1500 | no_progress
Episode    191 | Return:    18.9 | Distance:   5.58m | Steps: 1500 | no_progress
Episode    192 | Return:    16.5 | Distance:   5.10m | Steps:  728 | fell
Episode    193 | Return:    17.9 | Distance:   5.32m | Steps:  508 | flipped
Episode    194 | Return:    42.1 | Distance:  10.19m | Steps: 1115 | flipped
Episode    195 | Return:    16.9 | Distance:   5.14m | Steps:  463 | fell
Episode    196 | Return:    30.4 | Distance:   7.84m | Steps:  759 | flipped
Episode    197 | Return:    17.4 | Distance:   5.32m | Steps:  811 | flipped
Episode    198 | Return:    17.4 | Distance:   5.23m | Steps:  493 | flipped
Episode    199 | Return:    26.9 | Distance:   7.18m | Steps:  693 | flipped
Episode    200 | Return:    17.3 | Distance:   5.20m | Steps:  498 | flipped
Episode    201 | Return:    27.9 | Distance:   7.33m | Steps:  567 | flipped
Episode    202 | Return:    62.0 | Distance:  14.18m | Steps: 2250 | no_progress
Episode    203 | Return:    16.6 | Distance:   5.09m | Steps:  343 | fell
Episode    204 | Return:    41.7 | Distance:  10.10m | Steps:  899 | fell
Episode    205 | Return:    26.6 | Distance:   7.10m | Steps:  525 | fell
Episode    206 | Return:    20.2 | Distance:   5.78m | Steps: 1500 | no_progress
Episode    207 | Return:    39.3 | Distance:   9.65m | Steps:  837 | fell
Episode    208 | Return:    17.4 | Distance:   5.23m | Steps:  558 | flipped
Episode    209 | Return:    27.3 | Distance:   7.22m | Steps:  655 | flipped
Episode    210 | Return:    17.1 | Distance:   5.17m | Steps:  427 | flipped
Episode    211 | Return:    17.6 | Distance:   5.30m | Steps:  530 | flipped
Episode    212 | Return:    16.4 | Distance:   5.04m | Steps:  450 | fell
Episode    213 | Return:    17.9 | Distance:   5.33m | Steps:  623 | flipped
Episode    214 | Return:    16.5 | Distance:   5.06m | Steps:  610 | fell
Episode    215 | Return:    18.0 | Distance:   5.34m | Steps:  452 | flipped
Episode    216 | Return:    17.0 | Distance:   5.16m | Steps:  285 | flipped
Episode    217 | Return:    16.6 | Distance:   5.09m | Steps:  349 | fell
Episode    218 | Return:    39.0 | Distance:   9.60m | Steps: 1059 | fell
Episode    219 | Return:    19.2 | Distance:   5.62m | Steps: 1500 | no_progress
Episode    220 | Return:    17.0 | Distance:   5.18m | Steps:  385 | fell
Episode    221 | Return:    17.1 | Distance:   5.17m | Steps:  344 | flipped
Episode    222 | Return:    18.0 | Distance:   5.35m | Steps:  525 | flipped
Episode    223 | Return:    16.5 | Distance:   5.07m | Steps:  507 | fell
Episode    224 | Return:    16.8 | Distance:   5.13m | Steps:  485 | fell
