batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
1,20,1-20,32768,-10.0,0.15295687240271874,65.75,0.0
2,40,21-40,32768,-10.0,0.8465982305731412,80.7,0.0
3,60,41-60,32768,-10.0,0.37367778173362254,95.0,0.0
4,80,61-80,32768,-10.0,0.3876291400616476,82.1,0.0
5,100,81-100,32768,-10.0,0.45971396211281,79.65,0.0
6,120,101-120,32768,-10.0,0.13371252188093644,110.25,0.0
7,140,121-140,32768,-10.0,0.7587317497831461,74.95,0.0
8,160,141-160,32768,-10.0,0.4505079880015871,92.7,0.0
9,180,161-180,32768,-10.0,1.0175735096972613,92.65,0.0
10,200,181-200,32768,-10.0,0.48628978787365185,68.9,0.0
11,220,201-220,32768,-10.0,0.6488448926348248,86.2,0.0
12,240,221-240,32768,-10.0,0.5722273091546417,77.55,0.0
13,260,241-260,32768,-10.0,0.5890144404677977,97.35,0.0
14,280,261-280,32768,-10.0,0.8659199112864673,82.3,0.0
15,300,281-300,32768,-10.0,0.20531155961188804,90.45,0.0
16,320,301-320,32768,-10.0,0.5862952764876568,82.7,0.0
17,340,321-340,32768,-10.0,0.28232111857977943,91.25,0.0
18,360,341-360,32768,-10.0,0.9607877994044649,95.45,0.0
19,380,361-380,65536,-10.0,0.3916173698507993,73.2,0.0
20,400,381-400,65536,-10.0,0.4005306498526785,85.15,0.0
21,420,401-420,65536,-10.0,0.6560513873341882,83.0,0.0
22,440,421-440,65536,-10.0,0.18466214521418725,83.8,0.0
23,460,441-460,65536,-10.0,0.24551297970372704,82.25,0.0
24,480,461-480,65536,-10.0,0.76374349633976,77.1,0.0
25,500,481-500,65536,-10.0,0.32879374889553514,95.6,0.0
26,520,501-520,65536,-10.0,0.4627297998892967,76.5,0.0
27,540,521-540,65536,-10.0,0.41160109900654085,76.75,0.0
28,560,541-560,65536,-10.0,0.5792752989877893,83.25,0.0
29,580,561-580,65536,-10.0,0.7383953003399092,85.8,0.0
30,600,581-600,65536,-10.0,0.29281445370059805,88.45,0.0
31,620,601-620,65536,-10.0,0.7124357315930389,79.55,0.0
32,640,621-640,65536,-10.0,0.7549642745405152,84.45,0.0
33,660,641-660,65536,-10.0,0.33388968505413497,87.6,0.0
34,680,661-680,65536,-10.0,0.4612521651509793,87.7,0.0
35,700,681-700,65536,-10.0,0.6301009046744932,83.5,0.0
36,720,701-720,65536,-10.0,0.41729652456334876,96.7,0.0
37,740,721-740,65536,-10.0,0.3472478030155496,79.35,0.0
38,760,741-760,131072,-10.0,-0.11986700524251073,81.3,0.0
39,780,761-780,131072,-10.0,0.7279910662229168,106.35,0.0
40,800,781-800,131072,-10.0,-0.19313294487873772,87.75,0.0
41,820,801-820,131072,-10.0,0.5297612946013326,91.0,0.0
42,840,821-840,131072,-10.0,0.4215631617091639,89.1,0.0
43,860,841-860,131072,-10.0,0.37264751670113655,79.55,0.0
44,880,861-880,131072,-10.0,0.5082988210828552,83.1,0.0
45,900,881-900,131072,-10.0,0.3290245998953414,86.9,0.0
46,920,901-920,131072,-10.0,0.6374732523886607,85.55,0.0
47,940,921-940,131072,-10.0,0.9458343889756285,88.7,0.0
48,960,941-960,131072,-10.0,0.5117691931330007,79.75,0.0
49,980,961-980,131072,-10.0,0.5513863927663302,90.5,0.0
50,1000,981-1000,131072,-10.0,0.12950111294114616,86.45,0.0
51,1020,1001-1020,131072,-10.0,0.49068627802327613,84.45,0.0
52,1040,1021-1040,131072,-10.0,0.7919442975651398,82.35,0.0
53,1060,1041-1060,131072,-10.0,0.33509740320139636,71.85,0.0
54,1080,1061-1080,131072,-10.0,0.5265832417139792,97.55,0.0
55,1100,1081-1100,131072,-10.0,0.6182562327481509,89.95,0.0
56,1120,1101-1120,131072,-10.0,0.27917748913319523,83.2,0.0
57,1140,1121-1140,131072,-10.0,0.4749693678579757,85.6,0.0
58,1160,1141-1160,131072,-10.0,-0.03509479783690579,75.5,0.0
59,1180,1161-1180,131072,-10.0,0.5091552396893138,83.35,0.0
60,1200,1181-1200,131072,-10.0,0.35270249646168184,77.05,0.0
61,1220,1201-1220,131072,-10.0,0.4618258055085017,88.6,0.0
62,1240,1221-1240,131072,-10.0,0.42565938981631196,95.75,0.0
63,1260,1241-1260,131072,-10.0,0.37525308656180584,95.4,0.0
64,1280,1261-1280,131072,-10.0,0.7723550218502272,91.6,0.0
65,1300,1281-1300,131072,-10.0,0.46471094179706307,85.75,0.0
66,1320,1301-1320,131072,-10.0,0.15839573442496577,80.35,0.0
67,1340,1321-1340,131072,-10.0,0.8064453169738389,97.15,0.0
