batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
1,20,1-20,32768,-6.005173197649468,0.26548734158670634,749.35,0.0
2,40,21-40,65536,-3.512089218669891,0.9697452849684604,742.45,0.0
3,60,41-60,65536,-8.99687037707253,0.9891647717489434,439.25,0.0
4,80,61-80,65536,-8.499966832777677,0.9821396453621196,561.8,0.0
5,100,81-100,131072,-8.00033634630269,1.0826907174041103,582.55,0.0
6,120,101-120,131072,-5.990162061257164,1.645495933167604,848.0,0.0
7,140,121-140,131072,-2.984071946623861,2.15190704323316,878.25,0.0
8,160,141-160,131072,-2.990695678161886,2.7935446963172885,911.4,0.0
9,180,161-180,196608,-3.4683369226886485,3.2592970590614287,856.05,0.0
10,200,181-200,196608,-3.476390472320246,3.233334395890305,834.75,0.0
11,220,201-220,196608,-5.986571776766775,2.9942644167177894,733.5,0.0
12,240,221-240,196608,-4.96393055028838,3.5898683089123615,903.35,0.0
13,260,241-260,262144,-5.974102173591093,3.819860877106644,870.45,0.0
14,280,261-280,262144,-6.498718275235587,3.254198312283912,748.1,0.0
15,300,281-300,262144,-4.968565405678826,4.076655641393564,751.25,0.0
16,320,301-320,262144,-4.9790120094445,3.4405619998500185,763.75,0.0
17,340,321-340,327680,-5.468286662034833,3.723272869981733,604.45,0.0
18,360,341-360,327680,-4.473249076842102,3.6801142517279217,859.05,0.0
19,380,361-380,327680,-4.967208127313843,5.360721481916376,840.9,0.0
20,400,381-400,327680,-3.964090581618413,5.043417435276001,894.85,0.0
21,420,401-420,393216,-3.956983779003056,5.283854879836975,909.15,0.0
22,440,421-440,393216,-4.965720018531513,5.476028551923005,936.6,0.0
23,460,441-460,393216,-2.951756973728288,5.838517367605078,943.35,0.0
24,480,461-480,458752,-3.9607092247232663,6.797151702867652,951.65,0.0
25,500,481-500,458752,-6.986139142914125,7.043360308779265,925.2,0.0
26,520,501-520,458752,-5.978833677363861,5.834097728251456,895.25,0.0
27,540,521-540,458752,-9.004707606716474,7.5355819580116785,883.75,0.0
28,560,541-560,524288,-7.497504910531023,6.404427551122849,896.9,0.0
29,580,561-580,524288,-9.501589528112365,6.146372120188248,841.3,0.0
30,600,581-600,524288,-9.499871022524928,8.078010214759008,871.6,0.0
31,620,601-620,524288,-9.00049573943357,5.633480274908008,853.2,0.0
32,640,621-640,589824,-7.4897681319302505,7.211679532961627,900.9,0.0
33,660,641-660,589824,-8.49817376609158,7.240796434623545,855.65,0.0
34,680,661-680,589824,-6.986571847443999,6.814242892598242,892.15,0.0
35,700,681-700,589824,-8.499749789319964,6.358377864275087,818.75,0.0
36,720,701-720,655360,-6.48776889693801,7.212456761284093,890.15,0.0
37,740,721-740,655360,-4.999222659967145,6.373694804600417,945.2,0.0
38,760,741-760,655360,-5.487334823409219,7.14732592855822,914.45,0.0
39,780,761-780,720896,-2.989662290752059,6.258289875327085,913.4,0.0
40,800,781-800,720896,-4.984840536702569,6.671293893217511,948.6,0.0
41,820,801-820,720896,-6.491781283302748,7.57170634494531,918.55,0.0
42,840,821-840,720896,-4.512276845246558,4.844234291142548,806.2,0.0
43,860,841-860,786432,-5.483231060963761,6.434357616548253,866.9,0.0
44,880,861-880,786432,-4.495981478179637,5.848644854972889,838.35,0.0
45,900,881-900,786432,-6.019303984707219,6.436219048158532,863.7,0.0
46,920,901-920,786432,-4.993367011005551,6.28661754753152,895.85,0.0
