batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate
1,20,1-20,131072,56.68034536149937,34.87357558246564,3266.45,0.0
2,40,21-40,196608,73.98777251549687,42.11239211157435,3186.7,0.0
3,60,41-60,196608,18.588294532062008,15.107130221374808,769.35,0.0
4,80,61-80,262144,26.011709295361747,18.821168834539915,1016.1,0.0
5,100,81-100,262144,65.9149810960842,38.99903173559796,2237.3,0.0
6,120,101-120,327680,56.58392810436495,33.45783423824179,1975.85,0.0
7,140,121-140,393216,67.79929669580521,39.64469724199942,3085.55,0.0
8,160,141-160,458752,72.62780071929271,41.876639688163856,3090.6,0.0
9,180,161-180,524288,76.16436032462896,42.78748241425582,2546.0,0.0
10,200,181-200,589824,75.84836175633569,42.646838778336985,3053.75,0.0
11,220,201-220,655360,55.29897588570164,33.26735180468002,3122.3,0.0
12,240,221-240,720896,76.08611775482052,42.46775169922067,3724.4,0.0
13,260,241-260,786432,95.51141955982499,51.10536844207686,3057.75,0.0
14,280,261-280,786432,81.21260236607672,44.49928780719729,2583.3,0.0
15,300,281-300,851968,48.13579817026205,29.429280403584045,2076.85,0.0
16,320,301-320,917504,59.781338259836886,34.59212684892782,2987.05,0.0
17,340,321-340,983040,48.140891864170165,29.351315431385768,2992.5,0.0
18,360,341-360,1048576,79.80953139293817,43.401519567511876,2881.15,0.0
19,380,361-380,1114112,70.43255438639771,39.46583538587982,2850.8,0.0
20,400,381-400,1179648,78.52388433801733,43.38793047198678,2447.85,0.0
21,420,401-420,1179648,91.7087325304565,50.319298626762404,3030.95,0.0
22,440,421-440,1310720,82.82230925924252,45.72658293129451,3112.3,0.0
23,460,441-460,1310720,83.7705650440935,46.2488511174052,2964.85,0.0
24,480,461-480,1376256,78.63934488532688,44.243857427138224,3070.6,0.0
25,500,481-500,1441792,71.3945249711397,41.27822648247138,3006.85,0.0
26,520,501-520,1507328,72.81587826780415,40.88312265466506,2949.7,0.0
27,540,521-540,1572864,58.39772178559006,34.38596564878734,2747.25,0.0
28,560,541-560,1638400,54.77687855762093,32.59094128633449,2521.65,0.0
29,580,561-580,1638400,77.28611233750384,43.13258822716502,2701.9,0.0
30,600,581-600,1703936,47.46436380728208,28.982866950720773,2637.65,0.0
31,620,601-620,1769472,48.94980191305358,29.492829425430035,2239.5,0.0
32,640,621-640,1835008,60.424971521855845,34.80859596381326,2586.55,0.0
33,660,641-660,1900544,55.623961124415665,32.38670201474888,2410.65,0.0
34,680,661-680,1900544,63.45385129300955,36.07329399283065,2325.45,0.0
35,700,681-700,1966080,90.59077358905894,48.252291518449496,3353.35,0.0
36,720,701-720,2031616,87.34271649275287,47.4247898779891,2962.35,0.0
37,740,721-740,2097152,92.09444919056256,49.020070426354366,2823.75,0.0
38,760,741-760,2162688,114.96796661122514,60.038353718987004,3612.95,0.0
39,780,761-780,2228224,91.30676205311656,48.885458180973444,2864.7,0.0
40,800,781-800,2293760,98.33450615660179,52.19339346250998,3018.95,0.0
41,820,801-820,2359296,99.76704525623452,52.92642269005019,3377.75,0.0
42,840,821-840,2424832,64.69625833040696,36.237974950581325,2502.3,0.0
43,860,841-860,2490368,93.87806759037639,50.093478877141116,3176.3,0.0
44,880,861-880,2555904,102.53764884748723,53.679268204257504,3302.95,0.0
45,900,881-900,2621440,97.8407029715646,52.01486561463089,3273.75,0.0
46,920,901-920,2686976,94.10021942571063,49.89233323350769,3121.3,0.0
47,940,921-940,2752512,91.1161927653001,48.463301023969095,2914.7,0.0
48,960,941-960,2752512,75.41361177593254,41.66845943588099,2751.4,0.0
49,980,961-980,2883584,104.75126655073768,55.68232671943157,3267.4,0.0
50,1000,981-1000,2883584,116.80883397121866,60.86582490761269,3424.55,0.0
51,1020,1001-1020,2949120,102.75779131594523,54.36401277599585,3187.95,0.0
52,1040,1021-1040,3014656,73.78642840098334,40.55806212875491,2488.15,0.0
53,1060,1041-1060,3080192,90.65257580412279,48.958500026751764,3156.6,0.0
54,1080,1061-1080,3145728,89.09822900711148,47.99931699676002,3672.5,0.0
55,1100,1081-1100,3211264,81.22266040413514,44.294713717313144,3273.9,0.0
56,1120,1101-1120,3276800,81.60198650359472,44.51335503716901,3563.9,0.0
57,1140,1121-1140,3407872,94.38881459168424,51.15891217853783,3434.35,0.0
58,1160,1141-1160,3473408,101.70179309911829,54.61870864320209,3631.35,0.0
59,1180,1161-1180,3473408,95.99253032696194,51.81082388162791,3130.5,0.0
60,1200,1181-1200,3538944,81.78734773281676,44.62174781866723,3322.25,0.0
61,1220,1201-1220,3670016,98.22651018688447,52.75910723408123,3386.05,0.0
62,1240,1221-1240,3670016,98.6488209853396,52.73667207599185,3237.35,0.0
63,1260,1241-1260,3735552,98.84045576170793,52.801397348358684,3169.95,0.0
64,1280,1261-1280,3801088,104.30307916881868,55.9924852404457,3508.05,0.0
65,1300,1281-1300,3932160,104.51408352976595,55.39407323640562,3350.7,0.0
66,1320,1301-1320,3932160,111.3314447660071,58.850519125841004,3649.25,0.0
67,1340,1321-1340,4063232,83.06469688915354,45.91443321519941,3073.8,0.0
68,1360,1341-1360,4063232,87.65555397230764,47.75748385037108,3256.85,0.0
69,1380,1361-1380,4194304,91.56913679529421,50.33258961042948,3373.7,0.0
70,1400,1381-1400,4259840,88.50449237394932,48.4017513097656,3550.65,0.0
71,1420,1401-1420,4259840,79.40332857914856,44.053635824533224,3137.15,0.0
72,1440,1421-1440,4390912,89.10600365431773,48.574486996261165,3397.85,0.0
73,1460,1441-1460,4456448,103.00571795407726,54.56841618624499,3437.1,0.0
74,1480,1461-1480,4521984,77.34281676574376,42.87100050017293,2584.05,0.0
75,1500,1481-1500,4587520,83.58679411887783,45.651017036155864,3115.15,0.0
76,1520,1501-1520,4587520,94.99730004719956,51.47436322965689,3266.15,0.0
77,1540,1521-1540,4653056,95.44536986185182,51.42374073017968,3319.6,0.0
