Episode      1 | Return:    -9.1 | Distance:  -0.08m | Steps:  153 | fell
Episode      2 | Return:    -9.0 | Distance:  -0.06m | Steps:  221 | fell
Episode      3 | Return:    -9.0 | Distance:  -0.05m | Steps:  249 | fell
Episode      4 | Return:    -8.9 | Distance:  -0.04m | Steps:  300 | fell
Episode      5 | Return:    -8.9 | Distance:  -0.04m | Steps:  326 | fell
Episode      6 | Return:    -9.0 | Distance:  -0.06m | Steps:  337 | fell
Episode      7 | Return:    -9.0 | Distance:  -0.06m | Steps:  529 | fell
Episode      8 | Return:    -8.9 | Distance:  -0.03m | Steps:  299 | fell
Episode      9 | Return:    -8.9 | Distance:  -0.05m | Steps:  557 | fell
Episode     10 | Return:    -8.9 | Distance:  -0.05m | Steps:  557 | fell
Episode     11 | Return:    -9.0 | Distance:  -0.05m | Steps:  581 | fell
Episode     12 | Return:    -9.0 | Distance:  -0.06m | Steps:  327 | fell
Episode     13 | Return:    -4.0 | Distance:   0.75m | Steps:  750 | no_progress
Episode     14 | Return:    -4.0 | Distance:   0.74m | Steps:  750 | no_progress
Episode     15 | Return:    -2.5 | Distance:   1.05m | Steps:  750 | no_progress
Episode     16 | Return:    -4.3 | Distance:   0.69m | Steps:  750 | no_progress
Episode     17 | Return:    -5.3 | Distance:   0.50m | Steps:  750 | no_progress
Episode     18 | Return:    -5.3 | Distance:   0.49m | Steps:  750 | no_progress
Episode     19 | Return:    -4.2 | Distance:   0.73m | Steps:  750 | no_progress
Episode     20 | Return:    -3.7 | Distance:   0.82m | Steps:  750 | no_progress
Episode     21 | Return:    -3.9 | Distance:   0.77m | Steps:  750 | no_progress
Episode     22 | Return:    -3.3 | Distance:   0.89m | Steps:  750 | no_progress
Episode     23 | Return:    -8.9 | Distance:  -0.05m | Steps:  246 | fell
Episode     24 | Return:    -3.7 | Distance:   0.82m | Steps:  750 | no_progress
Episode     25 | Return:    -9.0 | Distance:  -0.07m | Steps:  452 | fell
Episode     26 | Return:    -5.8 | Distance:   0.39m | Steps:  750 | no_progress
Episode     27 | Return:    -8.9 | Distance:  -0.04m | Steps:  451 | fell
Episode     28 | Return:    -9.0 | Distance:  -0.06m | Steps:  515 | fell
Episode     29 | Return:    -2.9 | Distance:   0.97m | Steps:  750 | no_progress
Episode     30 | Return:    -5.4 | Distance:   0.46m | Steps: 1500 | no_progress
Episode     31 | Return:     1.3 | Distance:   1.81m | Steps: 1500 | no_progress
Episode     32 | Return:    -4.0 | Distance:   0.75m | Steps: 1500 | no_progress
Episode     33 | Return:    -3.5 | Distance:   0.85m | Steps:  750 | no_progress
Episode     34 | Return:    -2.6 | Distance:   1.04m | Steps:  750 | no_progress
Episode     35 | Return:    -4.7 | Distance:   0.61m | Steps:  750 | no_progress
Episode     36 | Return:     0.6 | Distance:   1.67m | Steps: 1500 | no_progress
Episode     37 | Return:    -3.0 | Distance:   0.95m | Steps:  750 | no_progress
Episode     38 | Return:    -0.4 | Distance:   1.47m | Steps: 1500 | no_progress
Episode     39 | Return:    16.4 | Distance:   5.06m | Steps: 1751 | fell
Episode     40 | Return:    16.9 | Distance:   5.14m | Steps: 2407 | fell
Episode     41 | Return:    16.5 | Distance:   5.06m | Steps: 2580 | fell
Episode     42 | Return:    18.0 | Distance:   5.34m | Steps: 2274 | flipped
Episode     43 | Return:    17.0 | Distance:   5.16m | Steps: 2743 | flipped
Episode     44 | Return:    16.3 | Distance:   5.04m | Steps: 2062 | fell
Episode     45 | Return:    17.9 | Distance:   5.36m | Steps: 1835 | flipped
Episode     46 | Return:    17.2 | Distance:   5.19m | Steps: 2185 | flipped
Episode     47 | Return:    16.5 | Distance:   5.08m | Steps: 1520 | fell
Episode     48 | Return:    16.5 | Distance:   5.06m | Steps: 1831 | fell
Episode     49 | Return:    17.1 | Distance:   5.20m | Steps: 3041 | flipped
Episode     50 | Return:    17.1 | Distance:   5.17m | Steps: 1570 | flipped
Episode     51 | Return:    26.3 | Distance:   7.06m | Steps: 1581 | fell
Episode     52 | Return:    26.4 | Distance:   7.05m | Steps: 2727 | fell
Episode     53 | Return:    26.3 | Distance:   7.07m | Steps: 1794 | fell
Episode     54 | Return:    17.0 | Distance:   5.15m | Steps: 1831 | flipped
Episode     55 | Return:    29.7 | Distance:   7.69m | Steps: 2892 | flipped
Episode     56 | Return:    18.0 | Distance:   5.35m | Steps: 2214 | flipped
Episode     57 | Return:    39.9 | Distance:   9.75m | Steps: 2798 | flipped
Episode     58 | Return:    30.3 | Distance:   7.80m | Steps: 3566 | flipped
Episode     59 | Return:    16.4 | Distance:   5.04m | Steps:  742 | fell
Episode     60 | Return:    18.5 | Distance:   5.44m | Steps: 2250 | no_progress
Episode     61 | Return:    29.9 | Distance:   7.72m | Steps: 2169 | flipped
Episode     62 | Return:    26.4 | Distance:   7.04m | Steps: 1451 | fell
Episode     63 | Return:    17.1 | Distance:   5.18m | Steps: 1296 | flipped
Episode     64 | Return:    16.4 | Distance:   5.06m | Steps:  933 | fell
Episode     65 | Return:    44.6 | Distance:  10.68m | Steps: 3782 | flipped
Episode     66 | Return:    17.1 | Distance:   5.18m | Steps: 1202 | flipped
Episode     67 | Return:    16.9 | Distance:   5.14m | Steps:  842 | flipped
Episode     68 | Return:    17.4 | Distance:   5.22m | Steps:  992 | flipped
Episode     69 | Return:    40.5 | Distance:  10.04m | Steps: 3973 | fell
Episode     70 | Return:    17.4 | Distance:   5.23m | Steps:  983 | flipped
Episode     71 | Return:    48.8 | Distance:  11.54m | Steps: 3256 | fell
Episode     72 | Return:    16.3 | Distance:   5.03m | Steps:  810 | fell
Episode     73 | Return:    18.0 | Distance:   5.34m | Steps: 1496 | flipped
Episode     74 | Return:    18.0 | Distance:   5.34m | Steps: 1048 | flipped
Episode     75 | Return:    17.5 | Distance:   5.24m | Steps:  951 | flipped
Episode     76 | Return:    61.5 | Distance:  14.05m | Steps: 3502 | fell
Episode     77 | Return:    17.0 | Distance:   5.16m | Steps: 1042 | flipped
Episode     78 | Return:    54.0 | Distance:  12.57m | Steps: 3379 | fell
Episode     79 | Return:    41.1 | Distance:  10.04m | Steps: 1675 | fell
Episode     80 | Return:    17.9 | Distance:   5.38m | Steps: 2250 | no_progress
Episode     81 | Return:    16.5 | Distance:   5.06m | Steps:  919 | fell
Episode     82 | Return:    16.4 | Distance:   5.04m | Steps:  594 | fell
Episode     83 | Return:    16.4 | Distance:   5.06m | Steps:  915 | fell
Episode     84 | Return:    28.9 | Distance:   7.54m | Steps: 1136 | fell
Episode     85 | Return:    15.7 | Distance:   4.78m | Steps:  897 | flipped
Episode     86 | Return:    17.3 | Distance:   5.20m | Steps:  766 | flipped
Episode     87 | Return:    16.4 | Distance:   5.04m | Steps:  850 | fell
Episode     88 | Return:    17.4 | Distance:   5.23m | Steps:  799 | flipped
Episode     89 | Return:    18.0 | Distance:   5.34m | Steps: 1058 | flipped
Episode     90 | Return:    17.4 | Distance:   5.23m | Steps:  805 | flipped
Episode     91 | Return:    18.0 | Distance:   5.35m | Steps:  778 | flipped
Episode     92 | Return:    30.2 | Distance:   7.84m | Steps: 1683 | flipped
Episode     93 | Return:    17.9 | Distance:   5.33m | Steps: 1317 | flipped
