Episode     94 | Return:    41.7 | Distance:  10.11m | Steps: 1518 | fell
Episode     95 | Return:    38.9 | Distance:   9.55m | Steps: 1342 | fell
Episode     96 | Return:    43.4 | Distance:  10.66m | Steps: 3750 | no_progress
Episode     97 | Return:    19.3 | Distance:   5.91m | Steps: 2250 | no_progress
Episode     98 | Return:    27.4 | Distance:   7.22m | Steps:  992 | flipped
Episode     99 | Return:    16.4 | Distance:   5.04m | Steps:  702 | fell
Episode    100 | Return:    85.2 | Distance:  18.83m | Steps: 3805 | flipped
Episode    101 | Return:    53.7 | Distance:  12.53m | Steps: 1913 | fell
Episode    102 | Return:    53.7 | Distance:  12.56m | Steps: 2075 | fell
Episode    103 | Return:    16.4 | Distance:   5.05m | Steps:  491 | fell
Episode    104 | Return:    16.7 | Distance:   5.47m | Steps: 2250 | no_progress
Episode    105 | Return:    17.4 | Distance:   5.22m | Steps:  821 | flipped
Episode    106 | Return:    17.1 | Distance:   5.18m | Steps:  628 | flipped
Episode    107 | Return:    37.0 | Distance:   9.14m | Steps: 1542 | fell
Episode    108 | Return:    29.0 | Distance:   7.56m | Steps: 1073 | fell
Episode    109 | Return:    30.5 | Distance:   7.84m | Steps: 1320 | flipped
Episode    110 | Return:    16.4 | Distance:   5.05m | Steps:  696 | fell
Episode    111 | Return:    28.6 | Distance:   7.54m | Steps: 1096 | fell
Episode    112 | Return:    56.3 | Distance:  13.03m | Steps: 2300 | fell
Episode    113 | Return:    48.9 | Distance:  11.55m | Steps: 1664 | fell
Episode    114 | Return:    39.7 | Distance:   9.69m | Steps: 1371 | flipped
Episode    115 | Return:    16.6 | Distance:   5.08m | Steps:  616 | fell
Episode    116 | Return:   -24.9 | Distance:  -3.36m | Steps: 1478 | flipped
Episode    117 | Return:    18.2 | Distance:   5.39m | Steps:  906 | fell
Episode    118 | Return:    25.7 | Distance:   7.23m | Steps: 2250 | no_progress
Episode    119 | Return:    17.2 | Distance:   5.20m | Steps:  624 | flipped
Episode    120 | Return:    17.3 | Distance:   5.22m | Steps:  568 | flipped
Episode    121 | Return:    29.1 | Distance:   7.60m | Steps:  922 | fell
Episode    122 | Return:    16.5 | Distance:   5.07m | Steps:  597 | fell
Episode    123 | Return:    47.4 | Distance:  11.51m | Steps: 3000 | no_progress
Episode    124 | Return:    36.4 | Distance:   9.05m | Steps: 1339 | fell
Episode    125 | Return:    16.4 | Distance:   5.04m | Steps:  534 | fell
Episode    126 | Return:    59.7 | Distance:  13.69m | Steps: 2087 | flipped
Episode    127 | Return:    25.6 | Distance:   7.23m | Steps: 2250 | no_progress
Episode    128 | Return:    16.6 | Distance:   5.09m | Steps:  639 | fell
Episode    129 | Return:    17.1 | Distance:   5.18m | Steps:  478 | flipped
Episode    130 | Return:    17.6 | Distance:   5.34m | Steps: 1153 | flipped
Episode    131 | Return:    56.6 | Distance:  13.07m | Steps: 1795 | fell
Episode    132 | Return:    26.5 | Distance:   7.06m | Steps:  852 | fell
Episode    133 | Return:    55.5 | Distance:  12.84m | Steps: 2097 | flipped
Episode    134 | Return:    76.7 | Distance:  17.16m | Steps: 2371 | flipped
Episode    135 | Return:    17.2 | Distance:   5.54m | Steps: 2250 | no_progress
Episode    136 | Return:    73.8 | Distance:  16.54m | Steps: 2136 | fell
