batch_num,episode_end,episodes_range,global_step,mean_return,mean_distance,mean_survival,success_rate,current_phase,random_percentage,bump_ratio
1,20,1-20,30720,-7.033129816587724,0.2570753946365359,521.8,0.0,1,1.0,0.5
2,40,21-40,92160,-2.195147969435795,1.1721851283529716,1003.6,0.0,1,1.0,0.5
3,60,41-60,122880,20.941056848760653,5.95322308662372,2201.8,0.0,1,1.0,0.5
4,80,61-80,153600,27.68324218022106,7.308872694244196,1851.6,0.0,1,1.0,0.5
5,100,81-100,184320,25.92918177925636,6.968404062179921,1343.8,0.0,1,1.0,0.5
6,120,101-120,215040,26.588961766686076,7.1090703209537836,1284.1,0.0,1,1.0,0.5
7,140,121-140,245760,34.581679296533586,8.737299122415047,1423.95,0.0,1,1.0,0.5
8,160,141-160,245760,30.444191981825334,7.896518307045076,1115.8,0.0,1,1.0,0.5
9,180,161-180,276480,27.832861241047926,7.347160027849685,1008.3,0.0,1,1.0,0.5
10,200,181-200,307200,44.362751025716854,10.698700563147572,1429.8,0.0,1,1.0,0.5
11,222,203-222,368640,33.06272627582079,8.449136883694155,1142.2,0.0,1,1.0,0.5
12,242,223-242,430080,56.63450421176625,13.236951904637854,1902.45,0.0,1,1.0,0.5
13,262,243-262,460800,56.91233039483011,13.36889682623816,1746.0,0.0,1,1.0,0.5
14,282,263-282,491520,60.47481036403492,14.115195611922399,1979.95,0.0,1,1.0,0.5
15,302,283-302,552960,85.15455589455833,19.20018381023538,2439.85,0.0,1,1.0,0.5
16,322,303-322,583680,87.8831557234466,19.53251585530878,2144.75,0.0,1,1.0,0.5
17,342,323-342,645120,71.36490384753456,16.286655682793157,2077.05,0.0,1,1.0,0.5
18,362,343-362,706560,133.1106576853214,28.58523987212712,2968.0,0.0,1,1.0,0.5
19,382,363-382,768000,112.82352992327444,24.522866036365137,2563.2,0.0,1,1.0,0.5
20,402,383-402,829440,171.7987317885733,36.07762968246915,3007.65,0.0,1,1.0,0.5
21,422,403-422,890880,194.80400462654245,40.35186204870589,3370.75,5.0,1,1.0,0.5
22,442,423-442,983040,204.4863717389988,41.76675647646033,3466.05,10.0,1,1.0,0.5
23,462,443-462,1013760,194.4356933841751,40.29771069283019,3042.5,5.0,1,1.0,0.5
24,482,463-482,1075200,152.33365161822266,31.372503649380906,2411.0,10.0,1,1.0,0.5
